"price","year","mileage","diesel","hybrid","mt","front.drive","rear.drive","engine.power","engine.capacity","sedan","hatchback","wagon","coupe","cabriolet","minivan","pickup"
"1",1490000,2012,30000,0,0,0,0,1,184,1.8,0,0,0,1,0,0,0
"2",1320000,2011,72088,0,0,0,0,0,272,3.5,1,0,0,0,0,0,0
"3",1399000,2012,42500,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"4",1125000,2010,23000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"5",1249000,2012,48000,0,0,0,0,1,184,1.8,0,0,0,1,0,0,0
"6",1180000,2010,88500,0,0,0,0,1,231,3,1,0,0,0,0,0,0
"7",1070000,2010,77000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"8",950000,2010,131000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"9",1400000,2011,81000,0,0,0,0,1,204,1.8,0,0,0,1,0,0,0
"10",1350000,2012,22169,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"11",1200000,2010,90000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"12",1220000,2012,85000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"13",1100000,2011,53000,0,0,0,0,1,204,1.8,1,0,0,0,0,0,0
"14",1300000,2012,83200,0,0,0,0,1,184,1.8,0,0,1,0,0,0,0
"15",999000,2012,80000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"16",1190000,2010,123000,1,0,0,0,0,265,3,1,0,0,0,0,0,0
"17",1030000,2010,92000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"18",1100000,2010,110000,0,0,0,0,1,204,1.8,0,0,0,1,0,0,0
"19",1399000,2010,38100,0,0,0,0,1,231,3,1,0,0,0,0,0,0
"20",1050000,2012,160000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"21",1150000,2012,99000,0,0,0,0,1,245,3,1,0,0,0,0,0,0
"22",1200000,2012,47000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"23",1150000,2011,72000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"24",1099000,2010,78000,1,0,0,0,1,231,3,1,0,0,0,0,0,0
"25",1155000,2012,66000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"26",1097000,2010,83000,1,0,0,0,1,204,2.1,1,0,0,0,0,0,0
"27",1150000,2012,43000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"28",1325000,2012,73000,0,0,0,0,1,245,3,1,0,0,0,0,0,0
"29",1379900,2012,88000,0,0,0,0,1,245,3,1,0,0,0,0,0,0
"30",1070000,2010,90000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"31",1235000,2010,86000,0,0,0,0,0,272,3.5,1,0,0,0,0,0,0
"32",1400000,2012,80888,0,0,0,0,0,306,3.5,1,0,0,0,0,0,0
"33",1200000,2012,1e+05,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"34",1111111,2011,99000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"35",948000,2010,57000,1,0,0,0,1,170,2.1,1,0,0,0,0,0,0
"36",1140000,2011,93000,0,0,0,0,1,204,1.8,1,0,0,0,0,0,0
"37",1445000,2012,93000,0,0,0,0,0,306,3.5,1,0,0,0,0,0,0
"38",1399000,2011,118000,0,0,0,0,0,306,3.5,1,0,0,0,0,0,0
"39",1099000,2011,59000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"40",1120000,2010,113000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"41",1150000,2010,95000,0,0,0,0,1,231,3,1,0,0,0,0,0,0
"42",799000,2012,110000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"43",1050000,2010,110000,0,0,0,0,1,184,2,1,0,0,0,0,0,0
"44",1407000,2012,55000,0,0,0,0,0,252,3.5,1,0,0,0,0,0,0
"45",1299000,2011,80000,0,0,0,0,0,272,3.5,1,0,0,0,0,0,0
"46",1195000,2011,75000,0,0,0,0,0,272,3.5,1,0,0,0,0,0,0
"47",1050000,2011,80000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"48",1190000,2011,70000,0,0,0,1,0,184,2,0,0,0,1,0,0,0
"49",1100000,2011,50000,0,0,0,0,1,204,1.8,1,0,0,0,0,0,0
"50",1339000,2012,85000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"51",950000,2010,130000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
